symbol,first_date,last_date,trading_days
DRIP,2016-08-25 00:00:00-04:00,2024-12-31 00:00:00-05:00,2101
DXD,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
FNGG,2021-09-30 00:00:00-04:00,2024-12-31 00:00:00-05:00,818
QID,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
ROM,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2263
SVXY,2017-01-03 00:00:00-05:00,2025-11-10 00:00:00-05:00,2227
TNA,2015-12-31 00:00:00-05:00,2024-12-31 00:00:00-05:00,2265
UBOT,2018-04-19 00:00:00-04:00,2024-12-31 00:00:00-05:00,1687
UDOW,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
UVXY,2017-01-03 00:00:00-05:00,2025-11-10 00:00:00-05:00,2227
VXX,2018-01-18 00:00:00-05:00,2025-11-10 00:00:00-05:00,1956
