symbol,first_date,last_date,trading_days
A,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AA,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AAC,2017-01-03 00:00:00-05:00,2023-11-06 00:00:00-05:00,1367
AACIU,2021-08-13 00:00:00-04:00,2024-08-15 00:00:00-04:00,153
AAL,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AAMC,2017-01-03 00:00:00-05:00,2024-09-16 00:00:00-04:00,1727
AAOI,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AAON,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AAP,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AAPL,2015-12-31 00:00:00-05:00,2025-12-04 00:00:00-05:00,2497
AAPY,2023-10-27 00:00:00-04:00,2024-12-31 00:00:00-05:00,221
AAT,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AAWW,2017-01-03 00:00:00-05:00,2023-03-17 00:00:00-04:00,1562
AB,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
ABAX,2017-01-03 00:00:00-05:00,2018-07-31 00:00:00-04:00,397
ABBV,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ABC,2017-01-03 00:00:00-05:00,2023-08-29 00:00:00-04:00,1675
ABCB,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ABCD,2017-01-03 00:00:00-05:00,2018-12-17 00:00:00-05:00,493
ABCO,2017-01-03 00:00:00-05:00,2017-11-17 00:00:00-05:00,223
ABEO,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ABEV,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
ABFL,2016-09-28 00:00:00-04:00,2024-12-31 00:00:00-05:00,2075
ABG,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ABM,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ABMD,2017-01-03 00:00:00-05:00,2022-12-21 00:00:00-05:00,1504
ABNB,2020-12-10 00:00:00-05:00,2025-12-04 00:00:00-05:00,1252
ABNY,2024-06-25 00:00:00-04:00,2024-12-31 00:00:00-05:00,132
ABSI,2021-07-22 00:00:00-04:00,2024-12-31 00:00:00-05:00,867
ABT,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ABY,2017-01-03 00:00:00-05:00,2017-11-13 00:00:00-05:00,219
ACAD,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2243
ACAT,2017-01-03 00:00:00-05:00,2017-03-06 00:00:00-05:00,43
ACCO,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACET,2018-01-26 00:00:00-05:00,2025-12-04 00:00:00-05:00,1976
ACGL,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ACHC,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACHN,2017-01-03 00:00:00-05:00,2020-01-27 00:00:00-05:00,771
ACI,2020-06-26 00:00:00-04:00,2025-12-04 00:00:00-05:00,1368
ACIW,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACLO,2024-11-18 00:00:00-05:00,2024-12-24 00:00:00-05:00,15
ACLS,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACM,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACN,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ACNT,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2261
ACOR,2017-01-03 00:00:00-05:00,2024-04-11 00:00:00-04:00,1827
ACRE,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACTA,2017-01-03 00:00:00-05:00,2018-02-07 00:00:00-05:00,277
ACTG,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ACWX,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
ACXM,2017-01-03 00:00:00-05:00,2018-10-01 00:00:00-04:00,440
ADBE,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ADC,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ADGM,2021-02-26 00:00:00-05:00,2024-12-31 00:00:00-05:00,709
ADI,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ADM,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
ADMS,2017-01-03 00:00:00-05:00,2021-11-23 00:00:00-05:00,1233
ADP,2015-12-31 00:00:00-05:00,2025-12-04 00:00:00-05:00,2497
ADPT,2019-06-27 00:00:00-04:00,2025-12-04 00:00:00-05:00,1620
ADRO,2017-01-03 00:00:00-05:00,2020-10-05 00:00:00-04:00,946
ADSK,2015-12-31 00:00:00-05:00,2025-12-04 00:00:00-05:00,2497
ADT,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2232
ADTN,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ADUS,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
ADXS,2017-01-03 00:00:00-05:00,2021-12-22 00:00:00-05:00,1253
AE,2017-01-03 00:00:00-05:00,2025-02-04 00:00:00-05:00,2033
AEE,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AEG,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2264
AEGN,2017-01-03 00:00:00-05:00,2021-05-14 00:00:00-04:00,1099
AEIS,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AEL,2017-01-03 00:00:00-05:00,2024-05-02 00:00:00-04:00,1845
AEMD,2016-01-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,2255
AEO,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AEP,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AEPI,2017-01-03 00:00:00-05:00,2017-01-20 00:00:00-05:00,13
AERI,2017-01-03 00:00:00-05:00,2022-11-18 00:00:00-05:00,1482
AES,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AESR,2019-12-17 00:00:00-05:00,2024-12-31 00:00:00-05:00,1245
AF,2017-01-03 00:00:00-05:00,2017-09-29 00:00:00-04:00,188
AFAM,2017-01-03 00:00:00-05:00,2018-03-29 00:00:00-04:00,312
AFG,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AFH,2017-01-03 00:00:00-05:00,2020-09-01 00:00:00-04:00,923
AFL,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AFMD,2017-01-03 00:00:00-05:00,2025-05-19 00:00:00-04:00,2106
AFRM,2021-01-13 00:00:00-05:00,2025-12-04 00:00:00-05:00,1230
AFSM,2019-12-04 00:00:00-05:00,2024-12-31 00:00:00-05:00,723
AGCO,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGEN,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGG,2017-01-03 00:00:00-05:00,2025-11-10 00:00:00-05:00,2227
AGGS,2024-05-02 00:00:00-04:00,2024-12-30 00:00:00-05:00,63
AGII,2017-01-03 00:00:00-05:00,2018-05-04 00:00:00-04:00,337
AGL,2021-04-15 00:00:00-04:00,2025-12-04 00:00:00-05:00,1167
AGM,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGNC,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGO,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGR,2017-01-03 00:00:00-05:00,2024-12-20 00:00:00-05:00,2006
AGRX,2017-01-03 00:00:00-05:00,2024-03-25 00:00:00-04:00,1818
AGTC,2017-01-03 00:00:00-05:00,2022-11-30 00:00:00-05:00,1489
AGX,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AGYS,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AHH,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AHLT,2023-08-31 00:00:00-04:00,2024-12-31 00:00:00-05:00,325
AHP,2017-01-03 00:00:00-05:00,2018-04-23 00:00:00-04:00,328
AHT,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AI,2020-12-09 00:00:00-05:00,2025-12-04 00:00:00-05:00,1253
AIFD,2024-05-06 00:00:00-04:00,2024-12-31 00:00:00-05:00,166
AIG,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
AIMC,2017-01-03 00:00:00-05:00,2023-03-24 00:00:00-04:00,1567
AIN,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AINC,2017-01-03 00:00:00-05:00,2024-07-26 00:00:00-04:00,1797
AIQ,2018-05-16 00:00:00-04:00,2025-12-04 00:00:00-05:00,1900
AIR,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AIRC,2020-12-15 00:00:00-05:00,2024-06-27 00:00:00-04:00,888
AIRM,2017-01-03 00:00:00-05:00,2017-04-20 00:00:00-04:00,75
AIT,2017-01-03 00:00:00-05:00,2025-12-04 00:00:00-05:00,2244
AIZ,2016-01-04 00:00:00-05:00,2025-12-04 00:00:00-05:00,2496
