Ranking,Company Name,Symbol
1,COMMERCE.COM INC,CMRC
2,ANAPTYSBIO INC,ANAB
3,ISHARES CONVERTIBLE BOND ETF,ICVT
4,GOLDMAN SACHS ULTRA SHORT BO,GSST
5,SPDR SSGA GLOBAL ALLOCATION,GAL
6,DIMENSIONAL CALFORNIA MB ETF,DFCA
7,CAP GROUP INTL FOCUS,CGXU
8,TENET HEALTHCARE CORP,THC
9,PRINCIPAL RL EST ACT OPP ETF,BYRE
10,VERINT SYSTEMS INC,VRNT
11,POLEN HIGH INCOME ETF,PCHI
12,ARHAUS INC,ARHS
13,ASIA PACIFIC WIRE & CABLE,APWC
14,CRESCENT CAPITAL BDC INC,CCAP
15,FRANKLIN SHORT DURATION U.S.,FTSD
16,GENERATION INCOME PROPERTIES,GIPR
17,SKYWEST INC,SKYW
18,WEIS MARKETS INC,WMK
19,ISHARES CORE 80/20 AGGRESSIV,AOA
20,TECHTARGET INC,TTGT
21,FIRST TRUST DJ GL SEL DVD,FGD
22,TEGNA INC,TGNA
23,PBF ENERGY INC-CLASS A,PBF
24,FIRST TRUST DORSEY WRIGHT DY,FVC
25,INVESCO LARGE CAP VALUE ETF,PWV
26,VOYAGER TECHNOLOGIES INC-A,VOYG
27,FIRST TRUST DW FOCUS 5 INTL,IFV
28,A/C SM CAP VALUE INSIGHTS,ACSV
29,ENNIS INC,EBF
30,PIMCO CALIFORNIA MUNI INC FD,PCQ
31,STRIDE INC,LRN
32,VS INTL FREE CASH FLOW ETF,IFLO
33,DOLLY VARDEN SILVER LTD,DVS
34,FLAG SHIP ACQUISITION CORP,FSHPR
35,LANTHEUS HOLDINGS INC,LNTH
36,CAP GROUP ULTRA SHORT INCOME,CGUI
37,COMMERCE BANCSHARES INC,CBSH
38,NOVABAY PHARMACEUTICALS INC,NBY
39,CADRE HOLDINGS INC,CDRE
40,MUFG JAPAN S CAP ACTIVE ETF,MJSC
41,LSI INDUSTRIES INC,LYTS
42,WATERSTONE FINANCIAL INC,WSBF
43,HUT 8 CORP,HUT
44,AVANTIS MOD ALLOC ETF,AVMA
45,QUANTUM COMPUTING INC,QUBT
46,TAOPING INC,TAOP
47,DIREXION DY CSCO BEAR 1X ETF,CSCS
48,NB BANCORP INC,NBBK
49,INVESCO BULLETSHARES 2031 HY,BSJV
50,TANDEM DIABETES CARE INC,TNDM
51,IRSA -SP ADR,IRS
52,FT VEST INTERNATIONAL EQUITY,YDEC
53,FIRST TRUST MULTI-MAN LG ETF,MMLG
54,UTZ BRANDS INC,UTZ
55,PINNACLE FOCUSED OPPORT ETF,FCUS
56,BIOMEA FUSION INC,BMEA
57,AXIL BRANDS INC,AXIL
58,GREAT ELM GROUP INC,GEG
59,IONQ INC,IONQ
60,INVES BLTSHRS 2035 MB ETF,BSMZ
61,FT VEST US EQUITY MODERATE B,GJAN
62,CAP GROUP GLOBAL GROWTH,CGGO
63,NUVEEN CHURCHILL DIRECT LEND,NCDL
64,ISHARES US INFRASTRUCTURE,IFRA
65,HORIZON NASDAQ-100 DR ETF,QGRD
66,MP MATERIALS CORP,MP
67,EDUCATIONAL DEVELOPMENT CORP,EDUC
68,MMTEC INC,MTC
69,PIMCO RAFI DYNAMIC MULTI-FAC,MFUS
70,FLOOR & DECOR HOLDINGS INC-A,FND
71,XTRACKERS USD HIGH YIELD COR,HYLB
72,MICROSECTORS BB 3X I LEV ETN,BNKD
73,FUNDX FLEXIBLE ETF,XFLX
74,AB EMRG MRKT OPPORTUNITI ETF,EMOP
75,CAMBRIA SHAREHOLDER YIELD ET,SYLD
76,GSR IV ACQUISITION CORP,GSRFU
77,SPDR MSCI EM FSL FL RSV FREE,EEMX
78,RAPT THERAPEUTICS INC,RAPT
79,NEUBERGER BERMAN OPT STR ETF,NBOS
80,ISHARES IBONDS DEC 2029 TERM,IBDU
81,TROOPS INC,TROO
82,SIX FLAGS ENTERTAINMENT CORP,FUN
83,KLAVIYO INC-A,KVYO
84,AAM BRENTVIEW DVD GROWTH ETF,BDIV
85,GUESS? INC,GES
86,ARK INNOVATION ETF,ARKK
87,KODIAK AI INC,KDK
88,NEXTNRG INC,NXXT
89,BLACKROCK CORP HI YLD,HYT
90,BLACKROCK INCOME TRUST,BKT
91,FT VEST U.S. EQUITY BUFFER E,FOCT
92,FRANKLIN U.S. CORE DIVIDEND,UDIV
93,INVESCO KBW REGIONAL BANKING,KBWR
94,FARMLAND PARTNERS INC,FPI
95,SOHO HOUSE & CO INC,SHCO
96,NUVEEN ESG LARGE-CAP ETF,NULC
97,INNOVATOR GROWTH ACCEL PL-OC,QTOC
98,DEFINITIVE HEALTHCARE CORP,DH
99,HIGHVIEW MERGER CORP-CL A,HVMC
100,DIMENSIONAL CORE FIXED INC,DFCF
101,WISDOMTREE TARGET RANGE FUND,GTR
102,TTM TECHNOLOGIES,TTMI
103,DX D BIOTECH T 5 BULL 2X ETF,TBXU
104,HIGH-TREND INTERNATIONAL-A,HTCO
105,VIAVI SOLUTIONS INC,VIAV
106,INVESCO GLOBAL EX US HIGH YI,PGHY
107,VANGUARD HIGH-YIELD ACT ETF,VGHY
108,NATWEST GROUP PLC -SPON ADR,NWG
109,MERIT MEDICAL SYSTEMS INC,MMSI
110,BITFUFU INC-A,FUFU
111,WISDOMTREE EMERGING MARKETS,DEM
112,VANECK FABLES SMICNDCTR ETF,SMHX
113,US GLOBAL SEA TO SKY CARGO,SEA
114,FIRST TRUST S-NETWORK FUTURE,CARZ
115,AZZ INC,AZZ
116,CATALYST BANCORP INC,CLST
117,DAVIS COMMODITIES LTD-A,DTCK
118,EBANG INTERNATIONAL HLDGS-A,EBON
119,PICOCELA INC,PCLA
120,WBI BULLBEAR QUALITY 3000 ET,WBIL
121,BIT TRE BIT TRE RO ST ET-USD,BITC
122,NATURAL GAS SERVICES GROUP,NGS
123,NUVEEN DIVIDEND GROWTH ETF,NDVG
124,WASHINGTON TRUST BANCORP,WASH
125,RILEY EXPLORATION PERMIAN IN,REPX
126,HORIZON CORE EQUITY ETF,STOX
127,DIREXION HCM TACTIC US ETF,HCMT
128,TON STRATEGY CO,TONX
129,FIRST TRUST ACTIVE FACTOR SM,AFSM
130,COHERENT CORP,COHR
131,CAMBRIA TAX AWARE ETF,TAX
132,WESTERN ASSET HIGH YIELD OPP,HYI
133,LARIMAR THERAPEUTICS INC,LRMR
134,CLAROS MORTGAGE TRUST INC,CMTG
135,IRONWOOD PHARMACEUTICALS INC,IRWD
136,PROTALIX BIOTHERAPEUTICS INC,PLX
137,DYNE THERAPEUTICS INC,DYN
138,WISDOMTREE US HIGH YIELD COR,QHY
139,YLDMX ABNB OP INC STRTG ETF,ABNY
140,FUSION FUEL GREEN PLC-A,HTOO
141,DIRXION DLY SHOP BULL 2X ETF,SHPU
142,VANECK VIDEOGAMING ESPORTS,ESPO
143,ISHARES MSCI GLOBAL SILVER A,SLVP
144,CITY OFFICE REIT INC,CIO
145,ZTO EXPRESS CAYMAN INC-ADR,ZTO
146,ETRACS 2X VALUE FACTR TR,IWDL
147,BONDBLOXX BBG 5 YR US TREAS,XFIV
148,FRANKLIN RESP SOURCED GOLD,FGDL
149,BLACKROCK MUNIVEST FUND II,MVT
150,MORGAN STANLEY EMRG MRK DOM,EDD
151,TEXAS COMMUNITY BANCSHARES,TCBS
152,STRIVE INTL DEV MKT ETF,STXI
153,ARMADA ACQUISITION CORP II,AACIU
154,WETOUCH TECHNOLOGY INC,WETH
155,KEEN VISION ACQUISITION CORP,KVACU
156,PROSHARES ULTRASHORT CONSUME,SCC
157,ALLOT LTD,ALLT
158,AMPLIFY SEYMOUR CANNABIS ETF,CNBS
159,GRAYSCALE BITCOIN MINERS ETF,MNRS
160,JULONG HOLDING LTD,JLHL
161,GEOVAX LABS INC,GOVX
162,BROOKFIELD RENEWABLE CORP,BEPC
163,FLEXSHARES GLOBAL QUALITY RE,GQRE
164,PROSHARES ULTRAPRO DOW30,UDOW
165,INVESCO BULLETSHARES 2030 HY,BSJU
166,BREAKWAVE TANKER SHIPPING,BWET
167,SANGOMA TECHNOLOGIES CORP,SANG
168,INNOVATOR U.S. EQUITY BUFFER,BMAR
169,SIMPLIFY VOLATILITY PREMIUM,SVOL
170,CAESARSTONE LTD,CSTE
171,CURIOSITYSTREAM INC,CURI
172,EMERGING MARKETS EQTY SELECT,RNEM
173,TRISALUS LIFE SCIENCES INC,TLSI
174,ENERFLEX LTD,EFXT
175,HAVERTY FURNITURE COS-CL A,HVT.A
176,STEPSTONE GROUP INC-CLASS A,STEP
177,WIDEPOINT CORP,WYY
178,PURECYCLE TECHNOLOGIES INC,PCTTU
179,SHIFT4 PAYMENTS INC-CLASS A,FOUR
180,TEXAS CAPITAL BANCSHARES INC,TCBI
181,FT INTERMED DUR IG CORP ETF,FIIG
182,PGIM S&P 500 BUFFER 12 ETF -,JULP
183,NUVVE HOLDING CORP,NVVE
184,MONARCH VF GLB UNCON ETF,MVFG
185,POST HOLDINGS INC,POST
186,RIVERNORTH ENH PRE-MERG SPAC,SPCZ
187,FT NSDQ100CONSBUFFETF - APR,QCAP
188,CAL REDWOOD ACQUISITION CORP,CRAQU
189,ESS TECH INC,GWH
190,GLOBAL INDEMNITY GROUP LLC-A,GBLI
191,VANGUARD INTERMEDIATE-TERM B,BIV
192,AB US LOW VOL EQUITY ETF,LOWV
193,ALZAMEND NEURO INC,ALZN
194,VOC ENERGY TRUST,VOC
195,T ROWE PRICE TOTAL RETURN ET,TOTR
196,DIREXION DAILY GOOGL BULL 2X,GGLL
197,TEMA ELECTRIFICATION,VOLT
198,FIDELITY MSCI US UTILITIES,FUTY
199,ISHARES MSCI ACWI EX US ETF,ACWX
200,VANGUARD TOTAL WORLD BOND ET,BNDW
201,FT VEST BTC FLOOR15 ETF-JUL,BFJL
202,GEOSPACE TECHNOLOGIES CORP,GEOS
203,BLUEMONTE LARGE CAP GROW ETF,BLGR
204,AMERICAN REBEL HOLDINGS INC,AREB
205,LESLIE'S INC,LESL
206,QUADRATIC DEFLATION ETF,BNDD
207,SABLE OFFSHORE CORP,SOC
208,GENTEX CORP,GNTX
209,TCW CORPORATE BOND ETF,IGCB
210,SCIENCE APPLICATIONS INTE,SAIC
211,FRESHPET INC,FRPT
212,T ROWE PRE CPT APR PR IN ETF,TCAL
213,CHINA YUCHAI INTL LTD,CYD
214,UNITED STATES 12 MONTH NATUR,UNL
215,PROSHARES ULTRA 7-10 YEAR TR,UST
216,REITAR LOGTECH HOLDINGS LTD,RITR
217,GROWGENERATION CORP,GRWG
218,RJ EAGLE MUNICIPAL INC ETF,RJMI
219,OLLIE'S BARGAIN OUTLET HOLDI,OLLI
220,FIDELITY DYN BUFF EQTY ETF,FBUF
221,CRYO-CELL INTL INC,CCEL
222,CIDARA THERAPEUTICS INC,CDTX
223,ALPINE INCOME PROPERTY TRUST,PINE
224,MANULIFE FINANCIAL CORP,MFC
225,INVESCO OPTIMUM YIELD DIVERS,PDBC
226,OCEAN POWER TECHNOLOGIES INC,OPTT
227,CHICAGO ATLANTIC REAL ESTATE,REFI
228,GMO BEYOND CHINA ETF,BCHI
229,CANTOR EQUITY PARTNERS INC,CEP
230,BGSF INC,BGSF
231,BLUE OWL CAPITAL CORP,OBDC
232,ISHARES INT HEDG CORP BD ETF,LQDH
233,CLEARONE INC,CLRO
234,GLOBAL X PURECAP ENERGY,GXPE
235,FIRST CITIZENS BCSHS  -CL A,FCNCA
236,FORTE BIOSCIENCES INC,FBRX
237,TAO SYNERGIES INC,TAOX
238,INVESCO FLOATING RATE MUNICI,PVI
239,DIM GBL EX US C FIXED INC,DFGX
240,EVOKE PHARMA INC,EVOK
241,VOYA GLBL EQTY DVD & PRM OPP,IGD
242,ERAYAK POWER SOLUTION GRP-A,RAYA
243,SIMPLIFY COMMODITIES STR K-1,HARD
244,ISHARES HIGH YILD ACTIVE ETF,BRHY
245,INVESCO S&P SMALLCAP ENERGY,PSCE
246,TILLY'S INC-CLASS A SHRS,TLYS
247,TRADR 2X LONG CELH DAILY ETF,CELT
248,BBVA ARGENTINA SA-ADR,BBAR
249,FT VEST EM BUFF ETF DEC,TDEC
