Ranking,Company Name,Symbol
1,Agilent Technologies,A
2,Alcoa Corp,AA
3,American Airlines Gp,AAL
4,Advance Auto Parts Inc,AAP
5,Apple Inc,AAPL
6,Abbvie Inc,ABBV
7,Amerisourcebergen Corp,ABC
8,Airbnb Inc Cl A,ABNB
9,Abbott Laboratories,ABT
10,Arch Capital Grp Ltd,ACGL
11,Acadia Healthcr Company,ACHC
12,Albertsons Companies Inc Cl A,ACI
13,Aecom Technology Corp,ACM
14,Accenture Plc,ACN
15,Adobe Systems Inc,ADBE
16,Analog Devices,ADI
17,Archer Daniels Midland,ADM
18,Automatic Data Procs,ADP
19,Autodesk Inc,ADSK
20,ADT Inc,ADT
21,Ameren Corp,AEE
22,American Electric Power Company,AEP
23,The Aes Corp,AES
24,American Financial Group,AFG
25,Aflac Inc,AFL
26,Affirm Holdings Inc Cl A,AFRM
27,Agco Corp,AGCO
28,Agilon Health Inc,AGL
29,Agnc Investment Corp,AGNC
30,Assured Guaranty Ltd,AGO
31,Avangrid Inc,AGR
32,American International Group,AIG
33,Apartment Income REIT Corp,AIRC
34,Assurant Inc,AIZ
35,Arthur J. Gallagher & Company,AJG
36,Akamai Technologies,AKAM
37,Air Lease Corp Cl A,AL
38,Albemarle Corp,ALB
39,Allegro Microsystems Inc,ALGM
40,Align Technology,ALGN
41,Alaska Air Group,ALK
42,Allstate Corp,ALL
43,Allegion Plc,ALLE
44,Ally Financial,ALLY
45,Alnylam Pharmaceuticals,ALNY
46,Allison Transmission Holdings,ALSN
47,Antero Midstream Corp,AM
48,Applied Materials,AMAT
49,Ardagh Metal Packaging S.A.,AMBP
50,AMC Entertainment Holdings,AMC
51,Amcor Plc,AMCR
52,Adv Micro Devices,AMD
53,Ametek Inc,AME
54,Amedisys Inc,AMED
55,Affiliated Managers Group,AMG
56,Amgen Inc,AMGN
57,American Homes 4 Rent,AMH
58,Ameriprise Financial Services,AMP
59,American Tower Corp,AMT
60,Amazon.com Inc,AMZN
61,Autonation Inc,AN
62,Arista Networks Inc,ANET
63,Ansys Inc,ANSS
64,AON Plc,AON
65,Smith A.O. Corp,AOS
66,Apa Corp,APA
67,Air Products and Chemicals,APD
68,Amphenol Corp,APH
69,Apollo Asset Management Inc,APO
70,Applovin Corp Cl A,APP
71,Aptiv Plc,APTV
72,Antero Resources Corp,AR
73,Alexandria Real Estate Equities,ARE
74,Ares Management LP,ARES
75,Aramark Holdings Corp,ARMK
76,Arrow Electronics,ARW
77,Ashland Inc,ASH
78,Atmos Energy Corp,ATO
79,Aptargroup,ATR
80,Altice USA Inc Cl A,ATUS
81,Activision Blizzard,ATVI
82,Avalonbay Communities,AVB
83,Broadcom Ltd,AVGO
84,Avnet Inc,AVT
85,Avantor Inc,AVTR
86,Avery Dennison Corp,AVY
87,Armstrong World Industries Inc,AWI
88,American Water Works,AWK
89,Axon Enterprise Inc,AXON
90,American Express Company,AXP
91,Axis Capital Holdings,AXS
92,Axalta Coating Systems Ltd,AXTA
93,Acuity Brands Inc,AYI
94,Alteryx Inc,AYX
95,The Azek Company Cl A,AZEK
96,Autozone,AZO
97,Aspen Technology,AZPN
98,Azenta Inc,AZTA
99,Boeing Company,BA
100,Bank of America Corp,BAC
101,Booz Allen Hamilton Holding Corp,BAH
102,Ball Corporation,BALL
103,Baxter International Inc,BAX
104,Bath & Body Works Inc,BBWI
105,Best Buy Company,BBY
106,Brunswick Corp,BC
107,Becton Dickinson and Company,BDX
108,Franklin Resources,BEN
109,Brookfield Renewable Corp,BEPC
110,Berry Global Group,BERY
111,Brown Forman Inc Cl A,BF.A
112,Bright Horizons Family Solutions Inc,BFAM
113,Brown Forman Inc Cl B,BF.B
114,Bunge Ltd,BG
115,Brighthouse Financial Inc,BHF
116,Biogen Inc,BIIB
117,Bill Holdings Inc,BILL
118,Bio-Rad Laboratories,BIO
119,Bj's Wholesale Club Holdings Inc,BJ
120,Bank of New York Mellon Corp,BK
121,Black Knight Inc,BKI
122,Booking Holdings Inc,BKNG
123,Baker Hughes Company,BKR
124,Topbuild Corp,BLD
125,Builders Firstsource,BLDR
126,Blackrock Inc,BLK
127,Biomarin Pharmaceuticals,BMRN
128,Bristol-Myers Squibb Company,BMY
129,Bank of Hawaii Corp,BOH
130,Bok Financial Corp,BOKF
131,Popular Inc,BPOP
132,Broadridge Financial Solutions Llc,BR
133,Berkshire Hathaway Cl B,BRK.B
134,Bruker Corp,BRKR
135,Brown & Brown,BRO
136,Brixmor Property Group Inc,BRX
137,Boston Scientific Corp,BSX
138,Bentley Systems Inc Cl B,BSY
139,Burlington Stores Inc,BURL
140,Borgwarner Inc,BWA
141,Bwx Technologies Inc,BWXT
142,Blackstone Inc,BX
143,Boston Properties,BXP
144,Boyd Gaming Corp,BYD
145,Citigroup Inc,C
146,Cable One Inc,CABO
147,Credit Acceptance,CACC
148,Caci International,CACI
149,Conagra Brands Inc,CAG
150,Cardinal Health,CAH
151,Avis Budget Group,CAR
152,Carrier Global Corp,CARR
153,Casey's General Stor,CASY
154,Caterpillar Inc,CAT
155,Chubb Ltd,CB
156,CBOE Global Markets Inc,CBOE
157,CBRE Group Inc,CBRE
158,Commerce Bancshares,CBSH
159,Chemours Company,CC
160,CCC Intelligent Solutions Hldgs Inc,CCCS
161,Crown Castle Inc,CCI
162,Crown Cork & Seal Company,CCK
163,Carnival Corp,CCL
164,Ceridian Hcm Holding Inc,CDAY
165,Cadence Design Sys,CDNS
166,CDW Corp,CDW
167,Celanese Corp,CE
168,Constellation Energy Corp,CEG
169,Certara Inc,CERT
170,Cf Industries Holdings,CF
171,Citizens Financial Group Inc/Ri,CFG
172,Confluent Inc Cl A,CFLT
173,Cullen/Frost Bankers,CFR
174,The Carlyle Group,CG
175,Cognex Cp,CGNX
176,Church & Dwight Company,CHD
177,Churchill Downs IN,CHDN
178,Chemed Inc,CHE
179,Choice Hotels International,CHH
180,Chesapeake Energy Corp,CHK
181,Chargepoint Hldgs Inc,CHPT
182,C.H. Robinson Ww,CHRW
183,Charter Communications Inc,CHTR
184,The Cigna Group,CI
185,Ciena Corp,CIEN
186,Cincinnati Financial,CINF
187,Colgate-Palmolive Company,CL
188,Cleveland-Cliffs Inc,CLF
189,Clean Harbors,CLH
190,Clarivate Analytics Plc,CLVT
191,Clorox Company,CLX
192,Comerica Inc,CMA
193,Comcast Corp A,CMCSA
194,CME Group Inc,CME
195,Chipotle Mexican Grill,CMG
196,Cummins Inc,CMI
197,Cms Energy Corp,CMS
198,CNA Financial Corp,CNA
199,Centene Corp,CNC
200,Core & Main Inc Cl A,CNM
201,Centerpoint Energy Inc,CNP
202,Concentrix Corp,CNXC
203,Capital One Financial Corp,COF
204,Coherent Corp,COHR
205,Coinbase Global Inc Cl A,COIN
206,Columbia Banking Sys,COLB
207,Americold Realty Trust,COLD
208,Columbia Sprtswr,COLM
209,Cooper Companies,COO
210,Conocophillips,COP
211,Costco Wholesale,COST
212,Coty Inc,COTY
213,Copa Holdings S.A.,CPA
214,Campbell Soup Company,CPB
215,Capri Holdings Ltd,CPRI
216,Copart Inc,CPRT
217,Camden Property Trust,CPT
218,Crane Company,CR
219,Carter's Inc,CRI
220,Charles River Laboratories Intl,CRL
221,Salesforce Inc,CRM
222,Cirrus Logic Inc,CRUS
223,Crowdstrike Holdings Inc,CRWD
224,Cisco Systems Inc,CSCO
