Ranking,Company Name,Symbol
1,Aac Holdings Inc,AAC
2,Altisource Asset,AAMC
3,Applied Optoelectronics Inc,AAOI
4,Aaon Inc,AAON
5,American Assets Trust,AAT
6,Avalanche Biotechnologies Inc,AAVL
7,Atlas Air Worldwide Holdings,AAWW
8,Abaxis Inc,ABAX
9,Ameris Bancorp,ABCB
10,Cambium Learning Group,ABCD
11,The Advisory Board Company,ABCO
12,Anchor Bancorp Wisconsin Inc,ABCW
13,Abeona Therapeutics Inc,ABEO
14,Asbury Automotive Group Inc,ABG
15,ABM Industries Incorporated,ABM
16,Abiomed,ABMD
17,Abengoa Yield Plc,ABY
18,Acadia Pharmaceuticals Inc,ACAD
19,Arctic Cat Inc,ACAT
20,Acco Brands Corp,ACCO
21,Aceto Corp,ACET
22,Achillion Pharmaceuticals,ACHN
23,Aci Worldwide,ACIW
24,Axcelis Technologies,ACLS
25,Acorda Therapeutics,ACOR
26,Ares Commercial Real Estate Cor,ACRE
27,Actua Corporation,ACTA
28,Acacia Research Corp,ACTG
29,Accuride Corporation,ACW
30,Acxiom Corp,ACXM
31,Agree Realty Corp,ADC
32,Adamas Pharmaceuticals Inc,ADMS
33,Adeptus Health Inc,ADPT
34,Aduro Biotech Inc,ADRO
35,Adtran Inc,ADTN
36,Addus Homecare Corp,ADUS
37,Advaxis Inc,ADXS
38,Adams Resources & Energy,AE
39,Aegoin Corp,AEGN
40,Aegerion Pharmaceuticals,AEGR
41,Advanced Energy Industries,AEIS
42,American Equity Investment Life,AEL
43,American Eagle Outfitters,AEO
44,AEP Industries Inc,AEPI
45,Aerie Pharmaceuticals Inc,AERI
46,Astoria Financial Corp,AF
47,Almost Family Inc,AFAM
48,Affymetrix,AFFX
49,Atlas Financial Holdings Inc,AFH
50,Affimed Therapeutics B.V,AFMD
51,Alliance Fiber Optic Products,AFOP
52,Agenus Inc,AGEN
53,Argo Group International Holdings Ltd,AGII
54,Federal Agricultural Mortgage Corp,AGM
55,Agile Therapeutics Inc,AGRX
56,Applied Genetic Technologies Co,AGTC
57,Argan Inc,AGX
58,Agilysys Inc,AGYS
59,Armada Hoffler Properties Inc,AHH
60,Ashford Hospitality Prime Inc,AHP
61,Amn Healthcare Services Inc,AHS
62,Ashford Hospitality Trust Inc,AHT
63,Arlington Asset Investment Corp,AI
64,Altra Holdings,AIMC
65,Albany International Corp,AIN
66,Ashford Inc. Common Stock,AINC
67,Alliance Healthcare Services,AIQ
68,AAR Corp,AIR
69,Air Methods Corp,AIRM
70,Applied Industrial Technologies,AIT
71,Gencorp Inc,AJRD
72,Great Ajax Corp,AJX
73,Akebia Therapeutics Inc,AKBA
74,Acadia Realty Trust,AKR
75,AK Steel Holding Corp,AKS
76,Alico Inc,ALCO
77,Alder Biopharmaceuticals Inc,ALDR
78,Allete Inc,ALE
79,Alexander and Baldwin Inc,ALEX
80,Alamo Group,ALG
81,Allegiant Travel Company,ALGT
82,Alimera Sciences,ALIM
83,Alon USA Energy,ALJ
84,Analogic Corp,ALOG
85,Alexander's Inc,ALX
86,Amag Pharmaceuticals,AMAG
87,Ambarella Inc,AMBA
88,Ambac Financial Group Inc,AMBC
89,Amber Road Inc,AMBR
91,Applied Micro Circuits Corp,AMCC
94,Amkor Technology,AMKR
95,American National Bankshares,AMNB
96,Allied Motion Technologies,AMOT
97,Amphastar Pharmaceuticals Inc,AMPH
98,Ameresco Inc,AMRC
99,Albany Molecular Research,AMRI
100,Amerisafe Inc,AMSF
101,Amsurg Corp,AMSG
102,American Software,AMSWA
103,Apollo Residential Mortgage In,AMTG
104,American Woodmark Corp,AMWD
105,Anacor Pharmaceuticals,ANAC
106,Access National Corp,ANCX
107,The Andersons,ANDE
108,Abercrombie & Fitch Company,ANF
109,Angie's List Inc,ANGI
110,Angiodynamics,ANGO
111,Anworth Mortgage Asset Corp,ANH
112,Anika Therapeutics Inc,ANIK
113,ANI Pharmaceuticals Inc,ANIP
114,Anthera Pharmaceuticals,ANTH
115,Alpha and Omega Semiconductor,AOSL
116,American Public Education,APEI
117,Apigee Corp,APIC
118,Apogee Enterprises,APOG
119,Apollo Group,APOL
120,Digital Turbine Inc,APPS
121,Preferred Apartment Communities,APTS
122,Accuray Incorporated,ARAY
123,American Reprographics Company,ARC
124,Arcbest Corp,ARCB
125,Ardelyx Inc,ARDX
126,Approach Resources Inc,AREX
127,Apollo Commercial Real Estate,ARI
128,Ariad Pharmaceuticals,ARIA
129,American Railcar Industries,ARII
130,Arena Pharmaceuticals,ARNA
131,Arrow Financial Corp,AROW
132,American Residential Properties,ARPI
133,Armour Residential R,ARR
134,Array Biopharma Inc,ARRY
135,Artesian Resources Corp,ARTNA
136,Arrowhead Research Corp,ARWR
137,Ardmore Shipping Corp,ASC
138,Ascent Media Corp,ASCMA
139,American Science and Engineering,ASEI
140,On Assignment,ASGN
141,Assembly Biosciences Inc,ASMB
142,Ascena Retail Group,ASNA
143,Altisource Portfolio Solutions S.A.,ASPS
144,Asterias Biotherapeutics Inc,AST
145,Astec Industries,ASTE
146,Atlantic Power Corp,AT
147,A10 Networks Inc,ATEN
148,Ames National Corp,ATLO
149,Atlantic Tele-Network,ATNI
150,Atara Biotherapeutics Inc,ATRA
151,Atricure,ATRC
152,Atrion Corp,ATRI
153,Astronics Corp,ATRO
154,Antares Pharma,ATRS
155,Air Transport Services Group Inc,ATSG
156,Actuant Corp,ATU
157,Atwood Oceanics,ATW
158,Avista Corp,AVA
159,Aerovironment,AVAV
160,American Vanguard Corp,AVD
161,Avg Technologies N.V.,AVG
162,Av Homes Inc,AVHI
163,Avid Technology,AVID
164,Avx Corp,AVX
165,American States Water Company,AWR
166,Abraxas Petroleum Corp,AXAS
167,Accelerate Diagnostics Inc,AXDX
168,Anixter International Inc,AXE
169,American Axle & Manufacturing,AXL
170,Georgia Gulf Corp,AXLL
171,Aircastle Ltd,AYR
173,Azz Inc,AZZ
174,Barnes Group,B
175,Natus Medical Inc,BABY
176,First Pactrust Bancorp,BANC
177,Bancfirst Corp,BANF
178,Banner Corp,BANR
179,Basic Energy Services,BAS
