pair,hour_of_week,spread_multiplier,n_quotes,source
AUDJPY,0,0.8817,780.0,dukascopy_sample
AUDJPY,1,0.8817,780.0,dukascopy_sample
AUDJPY,2,0.8102,780.0,dukascopy_sample
AUDJPY,3,0.8499,780.0,dukascopy_sample
AUDJPY,4,0.8333,841.0,dukascopy_sample
AUDJPY,5,0.7745,840.0,dukascopy_sample
AUDJPY,6,0.7745,840.0,dukascopy_sample
AUDJPY,7,0.7745,840.0,dukascopy_sample
AUDJPY,8,0.8077,840.0,dukascopy_sample
AUDJPY,9,0.7745,840.0,dukascopy_sample
AUDJPY,10,0.8335,840.0,dukascopy_sample
AUDJPY,11,0.804,840.0,dukascopy_sample
AUDJPY,12,0.7745,840.0,dukascopy_sample
AUDJPY,13,0.7745,840.0,dukascopy_sample
AUDJPY,14,0.804,840.0,dukascopy_sample
AUDJPY,15,0.756,840.0,dukascopy_sample
AUDJPY,16,0.7745,840.0,dukascopy_sample
AUDJPY,17,0.7892,840.0,dukascopy_sample
AUDJPY,18,0.804,840.0,dukascopy_sample
AUDJPY,19,0.804,840.0,dukascopy_sample
AUDJPY,20,1.0114,836.0,dukascopy_sample
AUDJPY,21,3.6344,820.0,dukascopy_sample
AUDJPY,22,1.292,836.0,dukascopy_sample
AUDJPY,23,0.8777,840.0,dukascopy_sample
AUDJPY,24,0.8704,840.0,dukascopy_sample
AUDJPY,25,0.8777,840.0,dukascopy_sample
AUDJPY,26,0.8409,840.0,dukascopy_sample
AUDJPY,27,0.8409,840.0,dukascopy_sample
AUDJPY,28,0.804,840.0,dukascopy_sample
AUDJPY,29,0.7745,840.0,dukascopy_sample
AUDJPY,30,0.804,840.0,dukascopy_sample
AUDJPY,31,0.7745,840.0,dukascopy_sample
AUDJPY,32,0.7745,840.0,dukascopy_sample
AUDJPY,33,0.7745,840.0,dukascopy_sample
AUDJPY,34,0.7745,840.0,dukascopy_sample
AUDJPY,35,0.7745,840.0,dukascopy_sample
AUDJPY,36,0.8335,840.0,dukascopy_sample
AUDJPY,37,0.804,840.0,dukascopy_sample
AUDJPY,38,0.804,840.0,dukascopy_sample
AUDJPY,39,0.7745,840.0,dukascopy_sample
AUDJPY,40,0.8114,840.0,dukascopy_sample
AUDJPY,41,0.7745,840.0,dukascopy_sample
AUDJPY,42,0.7745,840.0,dukascopy_sample
AUDJPY,43,0.804,840.0,dukascopy_sample
AUDJPY,44,1.0407,837.0,dukascopy_sample
AUDJPY,45,3.4508,816.0,dukascopy_sample
AUDJPY,46,1.2738,835.0,dukascopy_sample
AUDJPY,47,0.974,838.0,dukascopy_sample
AUDJPY,48,0.8704,840.0,dukascopy_sample
AUDJPY,49,0.8409,840.0,dukascopy_sample
AUDJPY,50,0.8409,840.0,dukascopy_sample
AUDJPY,51,0.7671,840.0,dukascopy_sample
AUDJPY,52,0.7579,721.0,dukascopy_sample
AUDJPY,53,0.8605,720.0,dukascopy_sample
AUDJPY,54,0.7745,720.0,dukascopy_sample
AUDJPY,55,0.7573,720.0,dukascopy_sample
AUDJPY,56,0.7573,720.0,dukascopy_sample
AUDJPY,57,0.7917,720.0,dukascopy_sample
AUDJPY,58,0.7917,720.0,dukascopy_sample
AUDJPY,59,0.8261,720.0,dukascopy_sample
AUDJPY,60,0.7917,720.0,dukascopy_sample
AUDJPY,61,0.8261,720.0,dukascopy_sample
AUDJPY,62,0.8605,720.0,dukascopy_sample
AUDJPY,63,0.8605,720.0,dukascopy_sample
AUDJPY,64,0.7926,716.0,dukascopy_sample
AUDJPY,65,0.8264,718.0,dukascopy_sample
AUDJPY,66,0.8954,715.0,dukascopy_sample
AUDJPY,67,0.8964,714.0,dukascopy_sample
AUDJPY,68,1.1187,720.0,dukascopy_sample
AUDJPY,69,3.9544,693.0,dukascopy_sample
AUDJPY,70,1.3427,719.0,dukascopy_sample
AUDJPY,71,0.9638,720.0,dukascopy_sample
AUDJPY,72,0.8605,720.0,dukascopy_sample
AUDJPY,73,0.8605,720.0,dukascopy_sample
AUDJPY,74,0.8605,720.0,dukascopy_sample
AUDJPY,75,0.8605,720.0,dukascopy_sample
AUDJPY,76,0.8949,720.0,dukascopy_sample
