symbol,tier,added_date,effective_start_date,massive_ticker,notes
USDNOK,1,2026-05-13,2010-01-01,C:USD-NOK,G10 Scandi major
USDSEK,1,2026-05-13,2010-01-01,C:USD-SEK,G10 Scandi major
NZDCHF,2,2026-05-13,2010-01-01,C:NZD-CHF,Antipodean-haven cross
CADCHF,2,2026-05-13,2010-01-01,C:CAD-CHF,Commodity-haven cross
GBPNZD,2,2026-05-13,2010-01-01,C:GBP-NZD,GBP-antipodean cross
EURSGD,2,2026-05-13,2010-01-01,C:EUR-SGD,EUR-Asia cross
SGDJPY,2,2026-05-13,2020-01-01,C:SGD-JPY,Asia cross; Polygon archive starts 2020 (verified empirically; 0% in 2014 probe)
NZDCAD,2,2026-05-14,2010-01-01,C:NZD-CAD,Phase A L1 G10 cross
NZDNOK,2,2026-05-14,2010-01-01,C:NZD-NOK,Phase A L1 G10 cross
NZDSEK,2,2026-05-14,2010-01-01,C:NZD-SEK,Phase A L1 G10 cross
CADNOK,2,2026-05-14,2010-01-01,C:CAD-NOK,Phase A L1 G10 cross
CADSEK,2,2026-05-14,2010-01-01,C:CAD-SEK,Phase A L1 G10 cross
CHFNOK,2,2026-05-14,2010-01-01,C:CHF-NOK,Phase A L1 G10 cross
CHFSEK,2,2026-05-14,2010-01-01,C:CHF-SEK,Phase A L1 G10 cross
AUDNOK,2,2026-05-14,2010-01-01,C:AUD-NOK,Phase A L1 G10 cross
AUDSEK,2,2026-05-14,2010-01-01,C:AUD-SEK,Phase A L1 G10 cross
NOKJPY,2,2026-05-14,2020-01-01,C:NOK-JPY,Phase A L1 G10 cross; recent-only (Polygon archive starts ~2020)
SEKJPY,2,2026-05-14,2020-01-01,C:SEK-JPY,Phase A L1 G10 cross; recent-only (Polygon archive starts ~2020)
XAUEUR,2,2026-05-14,2020-01-01,C:XAU-EUR,Phase A L2 metals cross; recent-only (Polygon archive starts ~2020)
XAUGBP,2,2026-05-14,2020-01-01,C:XAU-GBP,Phase A L2 metals cross; recent-only
XAUJPY,2,2026-05-14,2020-01-01,C:XAU-JPY,Phase A L2 metals cross; recent-only
XAUAUD,2,2026-05-14,2020-01-01,C:XAU-AUD,Phase A L2 metals cross; recent-only
XAGEUR,2,2026-05-14,2020-01-01,C:XAG-EUR,Phase A L2 metals cross; recent-only
XAGGBP,2,2026-05-14,2020-01-01,C:XAG-GBP,Phase A L2 metals cross; recent-only
XAGJPY,2,2026-05-14,2020-01-01,C:XAG-JPY,Phase A L2 metals cross; recent-only
EURMXN,2,2026-05-14,2010-01-01,C:EUR-MXN,Phase A L3 EUR-EM cross
EURZAR,2,2026-05-14,2010-01-01,C:EUR-ZAR,Phase A L3 EUR-EM cross
EURCNH,2,2026-05-14,2010-01-01,C:EUR-CNH,Phase A L3 EUR-EM cross
EURPLN,2,2026-05-14,2010-01-01,C:EUR-PLN,Phase A L3 EUR-EM cross
GBPMXN,2,2026-05-14,2010-01-01,C:GBP-MXN,Phase A L3 GBP-EM cross
GBPZAR,2,2026-05-14,2010-01-01,C:GBP-ZAR,Phase A L3 GBP-EM cross
GBPCNH,2,2026-05-14,2020-01-01,C:GBP-CNH,Phase A L3 GBP-EM cross; recent-only
AUDCNH,2,2026-05-14,2010-01-01,C:AUD-CNH,Phase A L3 AUD-EM cross
AUDMXN,2,2026-05-14,2010-01-01,C:AUD-MXN,Phase A L3 AUD-EM cross
