Ranking,Company Name,Symbol
2,Alcoa Corp,AA
3,American Airlines Gp,AAL
4,Advance Auto Parts Inc,AAP
7,Amerisourcebergen Corp,ABC
11,Acadia Healthcr Company,ACHC
12,Albertsons Companies Inc Cl A,ACI
13,Aecom Technology Corp,ACM
20,ADT Inc,ADT
24,American Financial Group,AFG
26,Affirm Holdings Inc Cl A,AFRM
27,Agco Corp,AGCO
28,Agilon Health Inc,AGL
29,Agnc Investment Corp,AGNC
30,Assured Guaranty Ltd,AGO
31,Avangrid Inc,AGR
33,Apartment Income REIT Corp,AIRC
37,Air Lease Corp Cl A,AL
39,Allegro Microsystems Inc,ALGM
41,Alaska Air Group,ALK
44,Ally Financial,ALLY
45,Alnylam Pharmaceuticals,ALNY
46,Allison Transmission Holdings,ALSN
47,Antero Midstream Corp,AM
49,Ardagh Metal Packaging S.A.,AMBP
50,AMC Entertainment Holdings,AMC
54,Amedisys Inc,AMED
55,Affiliated Managers Group,AMG
57,American Homes 4 Rent,AMH
61,Autonation Inc,AN
63,Ansys Inc,ANSS
70,Applovin Corp Cl A,APP
72,Antero Resources Corp,AR
74,Ares Management LP,ARES
75,Aramark Holdings Corp,ARMK
76,Arrow Electronics,ARW
77,Ashland Inc,ASH
79,Aptargroup,ATR
80,Altice USA Inc Cl A,ATUS
81,Activision Blizzard,ATVI
84,Avnet Inc,AVT
85,Avantor Inc,AVTR
87,Armstrong World Industries Inc,AWI
91,Axis Capital Holdings,AXS
92,Axalta Coating Systems Ltd,AXTA
93,Acuity Brands Inc,AYI
94,Alteryx Inc,AYX
95,The Azek Company Cl A,AZEK
97,Aspen Technology,AZPN
98,Azenta Inc,AZTA
101,Booz Allen Hamilton Holding Corp,BAH
104,Bath & Body Works Inc,BBWI
106,Brunswick Corp,BC
109,Brookfield Renewable Corp,BEPC
110,Berry Global Group,BERY
111,Brown Forman Inc Cl A,BF.A
112,Bright Horizons Family Solutions Inc,BFAM
115,Brighthouse Financial Inc,BHF
117,Bill Holdings Inc,BILL
118,Bio-Rad Laboratories,BIO
