onset_date,window_start,window_end,omr_trade_count_window,mean_net_return_window,mean_net_return_overall
2018-02-12,2018-02-07,2018-02-15,1,0.0010717737213332,0.004787888366582109
2018-02-22,2018-02-16,2018-02-27,6,0.006497483498192367,0.004787888366582109
2018-02-27,2018-02-22,2018-03-02,6,0.006497483498192367,0.004787888366582109
2018-04-06,2018-04-03,2018-04-11,3,-0.02,0.004787888366582109
2018-04-30,2018-04-25,2018-05-03,7,1.0935788511484887e-05,0.004787888366582109
2018-06-25,2018-06-20,2018-06-28,9,0.008102390368299968,0.004787888366582109
2018-06-27,2018-06-22,2018-07-02,12,0.0018906970472604917,0.004787888366582109
2018-10-17,2018-10-12,2018-10-22,6,0.003538032191863834,0.004787888366582109
2018-12-10,2018-12-04,2018-12-13,1,0.0131008396006621,0.004787888366582109
2018-12-26,2018-12-20,2018-12-31,0,,0.004787888366582109
2019-01-22,2019-01-16,2019-01-25,6,0.0168084759068305,0.004787888366582109
2019-05-13,2019-05-08,2019-05-16,9,-0.009956526657659424,0.004787888366582109
2019-05-29,2019-05-23,2019-06-03,2,-0.0072637222438901,0.004787888366582109
2019-05-31,2019-05-28,2019-06-05,2,-0.0079756541655554,0.004787888366582109
2019-08-06,2019-08-01,2019-08-09,5,-0.01605690229803494,0.004787888366582109
2019-08-23,2019-08-20,2019-08-28,2,0.00102138692341135,0.004787888366582109
2019-08-30,2019-08-27,2019-09-05,3,0.013716535790210533,0.004787888366582109
2019-10-02,2019-09-27,2019-10-07,5,-0.0029708025987521995,0.004787888366582109
2019-10-08,2019-10-03,2019-10-11,10,0.0053539247577283205,0.004787888366582109
2020-03-04,2020-02-28,2020-03-09,0,,0.004787888366582109
2020-03-20,2020-03-17,2020-03-25,0,,0.004787888366582109
2020-05-13,2020-05-08,2020-05-18,10,0.020404160669162494,0.004787888366582109
2020-06-11,2020-06-08,2020-06-16,6,0.013153593740690016,0.004787888366582109
2020-06-26,2020-06-23,2020-07-01,9,-0.003363131686312755,0.004787888366582109
2020-10-26,2020-10-21,2020-10-29,9,-0.0020642197109149224,0.004787888366582109
2021-01-29,2021-01-26,2021-02-03,7,0.00841975416671573,0.004787888366582109
2021-09-20,2021-09-15,2021-09-23,12,-0.007198666142134816,0.004787888366582109
2021-10-04,2021-09-29,2021-10-07,10,-0.0014395272055374303,0.004787888366582109
2022-01-18,2022-01-12,2022-01-21,8,-0.002333794235357488,0.004787888366582109
2022-01-27,2022-01-24,2022-02-01,3,0.020909363994418232,0.004787888366582109
2022-02-10,2022-02-07,2022-02-15,0,,0.004787888366582109
2022-04-11,2022-04-06,2022-04-14,2,-0.00776660205260315,0.004787888366582109
2022-04-21,2022-04-18,2022-04-26,2,0.00909232716934945,0.004787888366582109
2022-05-02,2022-04-27,2022-05-05,1,0.0550477447678601,0.004787888366582109
2022-09-06,2022-08-31,2022-09-09,10,0.01148649530912501,0.004787888366582109
2022-09-15,2022-09-12,2022-09-20,2,-0.01808822311179285,0.004787888366582109
2023-01-04,2022-12-29,2023-01-09,10,0.01010441267969783,0.004787888366582109
2023-03-15,2023-03-10,2023-03-20,3,0.026871388830955235,0.004787888366582109
2023-03-17,2023-03-14,2023-03-22,7,0.016436735399101673,0.004787888366582109
2023-10-19,2023-10-16,2023-10-24,2,-0.02,0.004787888366582109
2023-10-25,2023-10-20,2023-10-30,1,-0.02,0.004787888366582109
2024-04-15,2024-04-10,2024-04-18,2,-0.02,0.004787888366582109
2024-07-24,2024-07-19,2024-07-29,6,-0.0010362280145763672,0.004787888366582109
2024-07-30,2024-07-25,2024-08-02,5,-0.0032814481334760004,0.004787888366582109
2024-08-01,2024-07-29,2024-08-06,4,-0.0050325926442932505,0.004787888366582109
2024-08-09,2024-08-06,2024-08-14,2,-0.00417787128644405,0.004787888366582109
2024-08-20,2024-08-15,2024-08-23,14,-0.0002339094072359859,0.004787888366582109
2024-09-06,2024-09-03,2024-09-11,8,-3.7874817270086916e-05,0.004787888366582109
2024-12-20,2024-12-17,2024-12-26,5,-0.0028668661675172406,0.004787888366582109
