event_id,start_date,end_date,n_days,spy_return_during,spy_return_forward_5d,spy_return_forward_10d,spy_return_forward_20d,avoided_loss_attribution
7,2020-03-05,2020-03-19,11,-0.231254,0.086026,0.047067,0.191801,0.231254
6,2020-02-24,2020-03-03,7,-0.099676,-0.039368,-0.158007,-0.141520,0.099676
13,2025-04-04,2025-04-08,3,-0.074939,0.082843,0.078432,0.130257,0.074939
3,2018-10-10,2018-10-11,2,-0.052992,0.015542,-0.007679,0.030606,0.052992
2,2018-02-05,2018-02-09,5,-0.050644,0.044398,0.062715,0.065086,0.050644
11,2024-08-02,2024-08-07,4,-0.044843,0.048375,0.080901,0.059673,0.044843
14,2025-04-10,2025-04-10,1,-0.043819,0.003488,0.049678,0.075794,0.043819
12,2024-12-18,2024-12-19,2,-0.030101,0.015202,0.015799,0.034704,0.030101
5,2019-08-05,2019-08-05,1,-0.030073,0.014974,0.029984,0.024382,0.030073
4,2018-12-24,2018-12-24,1,-0.026423,0.067594,0.100836,0.124648,0.026423
8,2021-01-27,2021-01-27,1,-0.024440,0.019871,0.041852,0.021153,0.024440
9,2021-11-26,2021-11-26,1,-0.022303,-0.012092,0.025644,0.039850,0.022303
1,2017-08-10,2017-08-10,1,-0.014115,-0.002749,0.000944,0.011569,0.014115
10,2021-12-01,2021-12-01,1,-0.011107,0.042220,0.044617,0.056959,0.011107
