metric,value
total_bear_soft_days,366.0
gated_window_days,2355.0
bear_soft_pct_of_gated,15.5414
n_events,25.0
event_duration_median,9.0
event_duration_p25,2.0
event_duration_p75,29.0
event_duration_max,60.0
event_duration_mean,14.64
year_2017_bear_soft_days,0.0
year_2018_bear_soft_days,86.0
year_2019_bear_soft_days,22.0
year_2020_bear_soft_days,40.0
year_2021_bear_soft_days,0.0
year_2022_bear_soft_days,141.0
year_2023_bear_soft_days,20.0
year_2024_bear_soft_days,4.0
year_2025_bear_soft_days,39.0
year_2026_bear_soft_days,14.0
year_2018_n_events,4.0
year_2019_n_events,4.0
year_2020_n_events,1.0
year_2022_n_events,7.0
year_2023_n_events,4.0
year_2024_n_events,2.0
year_2025_n_events,2.0
year_2026_n_events,1.0
