event_id,start_date,end_date,duration_days,cum_v11,cum_v14a,cum_v14b,cum_v14c,v14a_minus_v11,v14b_minus_v11,v14c_minus_v11
1,2018-02-27,2018-03-09,9,0.013621234532947613,-0.009640432176552971,0.005888894826266533,0.0028378368386736685,-0.023261666709500584,-0.0077323397066810795,-0.010783397694273944
2,2018-03-23,2018-04-25,23,-0.01758495076562916,-0.019823817307963232,0.0008034005381336584,-0.017387024720198818,-0.0022388665423340726,0.018388351303762818,0.0001979260454303411
3,2018-10-11,2018-11-30,36,-0.004413416702956807,-0.011725607338847865,0.0004605789814942085,-0.012164931744942042,-0.007312190635891058,0.004873995684451016,-0.007751515041985235
4,2018-12-04,2019-01-16,29,-0.0841560102030765,-0.015913440193354722,-0.05106496182135056,-0.06169638696190827,0.06824257000972178,0.03309104838172594,0.022459623241168236
5,2019-01-22,2019-01-23,2,-0.02249442474022989,-0.015303584786644397,-0.01439021082438574,-0.01574033543493758,0.007190839953585493,0.00810421391584415,0.00675408930529231
6,2019-05-31,2019-06-04,3,0.03507105730350957,-0.013036074845071965,0.004870184513909415,0.006601684156853249,-0.04810713214858153,-0.030200872789600153,-0.028469373146656318
7,2019-08-23,2019-08-28,4,-0.01734080014356776,-0.025089092611363273,-0.011795671403147745,-0.02047851518125865,-0.0077482924677955145,0.005545128740420013,-0.0031377150376908913
8,2019-08-30,2019-09-03,2,-0.006619764609866574,-0.011663901853508518,-0.015929024680864545,-0.0034058937220564633,-0.005044137243641944,-0.009309260070997971,0.0032138708878101108
9,2020-02-27,2020-04-23,40,-0.13078539310501958,-0.030260531380860378,-0.09102398508449527,-0.033779026511471466,0.1005248617241592,0.0397614080205243,0.09700636659354811
10,2022-01-21,2022-02-08,13,0.003174310985563089,-0.039378932386956556,-0.011644373269158015,-0.021973691968216302,-0.042553243372519645,-0.014818684254721104,-0.02514800295377939
11,2022-02-10,2022-03-24,30,-0.018225297890240078,-0.006099285505943519,-0.004307115277309315,-0.017226511951618173,0.012126012384296558,0.013918182612930763,0.0009987859386219045
12,2022-04-11,2022-04-18,5,-0.006429148361552839,-0.006563780193670876,-0.01154094823972962,-7.268168019181065e-05,-0.0001346318321180373,-0.0051117998781767815,0.006356466681361028
13,2022-04-21,2022-07-18,60,-0.1028322320187316,-0.022126141712441205,-0.14773395169504488,-0.07681367180508603,0.08070609030629039,-0.04490171967631329,0.02601856021364557
14,2022-09-06,2022-09-06,1,-0.021098019007967483,-0.021248929932450866,-0.02174979385233189,-0.02120555607282648,-0.00015091092448338284,-0.0006517748443644056,-0.00010753706485899794
15,2022-09-13,2022-09-13,1,-0.04061624241146444,-0.03621743890081908,-0.037024774347308886,-0.04084171079296417,0.004398803510645366,0.0035914680641555563,-0.00022546838149972714
16,2022-09-15,2022-10-27,31,-0.04098707236573307,-0.00894153825294186,-0.03526168570542565,-0.02875533574732192,0.03204553411279121,0.005725386660307419,0.012231736618411149
17,2023-01-04,2023-01-09,4,0.02502078654009776,0.010364667700576202,0.021748194373917284,0.01906509171820603,-0.01465611883952156,-0.003272592166180477,-0.005955694821891733
18,2023-03-15,2023-03-20,4,-0.02320797026273258,-0.023650955462524603,-0.013344057264364273,-0.017177750442561646,-0.0004429851997920231,0.009863912998368307,0.0060302198201709345
19,2023-03-22,2023-03-23,2,-0.04180164988762691,-0.033211727552029835,-0.02972303116306174,-0.03631736533753793,0.008589922335597078,0.012078618724565171,0.00548428455008898
20,2023-10-19,2023-11-01,10,-0.06573777446016116,-0.021363564010829283,-0.03043798939192932,-0.040301006244869764,0.044374210449331875,0.03529978506823184,0.025436768215291394
21,2024-08-13,2024-08-14,2,0.022206865366243944,0.030964365165520258,0.03388901605344863,0.026852651404223105,0.008757499799276314,0.011682150687204684,0.0046457860379791605
22,2024-08-20,2024-08-21,2,-0.0024949589223979274,-0.010979128587749964,-0.007243500728254748,-0.006472303997274054,-0.008484169665352037,-0.004748541805856821,-0.003977345074876126
23,2025-03-10,2025-03-21,10,0.0065499518050275984,-0.029840807606621778,-0.02438685232665483,-0.011514637021237673,-0.036390759411649376,-0.030936804131682427,-0.01806458882626527
24,2025-03-26,2025-05-06,29,-0.08095863090274691,-0.014837291589666401,-0.032553961010864496,-0.03554851337977272,0.06612133931308051,0.04840466989188241,0.04541011752297419
25,2026-03-19,2026-04-08,14,0.03865040397383246,-0.004369398451893769,0.01961639415777805,0.01782017627228516,-0.04301980242572623,-0.01903400981605441,-0.0208302277015473
