event_id,start_date,end_date,duration_days,n_used,corr_spy_v11
1,2018-02-27,2018-03-09,9,9,0.9002304560264532
2,2018-03-23,2018-04-25,23,23,0.8733186374663011
3,2018-10-11,2018-11-30,36,36,0.8393464727392067
4,2018-12-04,2019-01-16,29,29,0.882977874386659
5,2019-01-22,2019-01-23,2,2,1.0
6,2019-05-31,2019-06-04,3,3,0.9567402597181536
7,2019-08-23,2019-08-28,4,4,0.8315611178398697
8,2019-08-30,2019-09-03,2,2,-0.9999999999999999
9,2020-02-27,2020-04-23,40,40,0.7297322856269985
10,2022-01-21,2022-02-08,13,13,0.8155899926575232
11,2022-02-10,2022-03-24,30,30,0.8506176696411817
12,2022-04-11,2022-04-18,5,5,0.7870300230571008
13,2022-04-21,2022-07-18,60,60,0.8351712130764395
14,2022-09-06,2022-09-06,1,1,
15,2022-09-13,2022-09-13,1,1,
16,2022-09-15,2022-10-27,31,31,0.9240630325677446
17,2023-01-04,2023-01-09,4,4,0.9028014843434793
18,2023-03-15,2023-03-20,4,4,0.9609857109326714
19,2023-03-22,2023-03-23,2,2,1.0
20,2023-10-19,2023-11-01,10,10,0.8941329331002759
21,2024-08-13,2024-08-14,2,2,0.9999999999999999
22,2024-08-20,2024-08-21,2,2,1.0
23,2025-03-10,2025-03-21,10,10,0.8854551902604474
24,2025-03-26,2025-05-06,29,29,0.9572485258674813
25,2026-03-19,2026-04-08,14,14,0.8773234180469043
POOLED,,,366,366,0.7927259689407201
