exit_id,exit_date,spy_low_date,lag_days,spy_close_at_exit,spy_low_value,excess_v14a_minus_v11_5d,excess_v14a_minus_v11_10d,excess_v14a_minus_v11_20d
1,2018-03-12,2018-04-02,14,278.5199890136719,257.4700012207031,0.010551435337565973,0.008006941931937184,0.02315463391746264
2,2018-04-26,2018-04-02,-18,266.30999755859375,257.4700012207031,-0.012937397619145252,-0.012783892400166641,-0.013347424234470662
3,2018-12-03,2018-12-24,14,279.29998779296875,234.33999633789062,0.02270043349941442,0.07792036855600781,0.09115259512368501
4,2019-01-17,2018-12-24,-16,262.9599914550781,234.33999633789062,0.0031480744740253197,0.01661962243309678,0.016301774281471282
5,2019-01-24,2018-12-24,-20,263.54998779296875,234.33999633789062,0.0016229836527392738,0.0025082464945407335,0.0027684692699794233
6,2019-06-05,2019-06-03,-2,282.9599914550781,274.57000732421875,0.0035397444440516956,-0.000588976481662451,-7.204010095329672e-05
7,2019-08-29,2019-08-05,-18,292.5799865722656,283.82000732421875,-0.04014394860424064,-0.05471774932983331,-0.055265441790465
8,2019-09-04,2019-08-14,-14,294.0400085449219,283.8999938964844,-0.03757050879964019,-0.0412222192559184,-0.03863421936531275
9,2020-04-24,2020-04-01,-16,282.9700012207031,246.14999389648438,-0.02420589072928725,-0.02472551943141421,-0.027851047787044614
10,2022-02-09,2022-03-08,18,457.5400085449219,416.25,-0.007212580487090059,0.05943977174684534,0.06292011817083287
11,2022-03-25,2022-03-08,-13,452.69000244140625,416.25,-0.001758988675008788,0.0051150780680119246,0.018649956039902382
12,2022-04-19,2022-05-12,17,445.0400085449219,392.3399963378906,-0.0063132899018858435,0.00040336562007203813,0.057454179875204625
13,2022-07-19,2022-06-17,-20,392.2699890136719,365.8599853515625,-0.054064128594846994,-0.05717870150658766,-0.06180504388265895
14,2022-09-07,2022-09-30,17,397.7799987792969,357.17999267578125,-0.014386793569683531,-0.004301670756200471,0.007478908287548824
15,2022-09-14,2022-10-12,20,394.6000061035156,356.55999755859375,0.009609118095494917,0.06924076473353435,0.08312173594124683
16,2022-10-28,2022-10-12,-12,389.0199890136719,356.55999755859375,-0.03304124010328591,-0.03219855052673082,-0.03812703568013598
17,2023-01-10,2022-12-28,-8,390.5799865722656,376.6600036621094,0.0016837204055255572,0.0017096369706002257,0.0020193014845488744
18,2023-03-21,2023-03-13,-6,398.9100036621094,385.3599853515625,-0.04943074792717961,-0.05192945103505564,-0.053217991214284055
19,2023-03-24,2023-03-13,-9,395.75,385.3599853515625,-0.018233341499229505,-0.016341919687752116,-0.01656819081248284
20,2023-11-02,2023-10-27,-4,430.760009765625,410.67999267578125,-0.04796156577507116,-0.05582999920040699,-0.05749333395892897
21,2024-08-15,2024-08-05,-8,553.0700073242188,517.3800048828125,-0.02971105795088891,-0.02843883504256206,-0.026841082776116187
22,2024-08-22,2024-08-05,-13,556.219970703125,517.3800048828125,0.0009987584736421695,0.002024843638064766,0.002359369397022526
23,2025-03-24,2025-04-08,11,574.0800170898438,496.4800109863281,-0.0038935013910225136,0.13658408784345344,0.1292387244167703
24,2025-05-07,2025-04-08,-20,561.1500244140625,496.4800109863281,0.01821015831532269,0.005768488906316538,0.005463251309232087
25,2026-04-09,2026-03-30,-7,679.9099731445312,631.969970703125,0.04041825035436686,0.035119329527419474,0.0346677815962102
