date,pair,units,cost
2012-04-02,AUDUSD,220831.65468181582,52.9995971236358
2012-04-02,NZDUSD,-206585.05912258208,49.5804141894197
2012-04-09,AUDUSD,-220831.65468181582,52.9995971236358
2012-04-09,NZDUSD,206585.05912258208,49.5804141894197
2012-04-16,AUDUSD,222854.67870328133,53.48512288878752
2012-04-16,NZDUSD,-195670.0569599721,46.96081367039331
2012-04-23,AUDUSD,-28146.86656650406,6.755247975960975
2012-04-23,NZDUSD,26052.917775901762,6.252700266216423
2012-04-30,AUDUSD,-90180.98712729757,21.64343691055142
2012-04-30,NZDUSD,78861.71889978723,18.926812535948937
2012-05-07,AUDUSD,15782.210343905594,3.7877304825373423
2012-05-07,NZDUSD,-15151.958614536445,3.6364700674887467
2012-05-14,AUDUSD,-120309.03535338529,28.874168484812472
2012-05-14,NZDUSD,105907.37889881956,25.417770935716696
2012-10-01,AUDUSD,197466.54617414283,47.39197108179428
2012-10-01,NZDUSD,-204349.31559154342,49.04383574197042
2012-10-08,AUDUSD,13266.697972172202,3.1840075133213284
2012-10-08,NZDUSD,-3883.8598173707433,0.9321263561689784
2012-10-15,AUDUSD,-39996.14871431305,9.599075691435132
2012-10-15,NZDUSD,43281.64957949807,10.387595899079537
2012-10-22,AUDUSD,-82731.3370875326,19.855520901007825
2012-10-22,NZDUSD,80277.35862784127,19.266566070681904
2012-10-29,AUDUSD,-88005.75834446937,21.12138200267265
2012-10-29,NZDUSD,84674.16720157482,20.32180012837796
2013-02-11,AUDUSD,268647.7870170213,64.47546888408512
2013-02-11,NZDUSD,-143954.55837111242,34.549094009066984
2013-02-18,AUDUSD,-3793.9335490519297,0.9105440517724631
2013-02-18,NZDUSD,17979.96673114362,4.315192015474469
2013-02-25,AUDUSD,-68296.36625659798,16.391127901583516
2013-02-25,NZDUSD,45579.54705510494,10.939091293225186
2013-03-04,AUDUSD,34695.82790113083,8.3269986962714
2013-03-04,NZDUSD,-23489.047612960363,5.637371427110487
2013-03-11,AUDUSD,-231253.31511250226,55.50079562700054
2013-03-11,NZDUSD,103884.09219782423,24.932182127477816
2013-05-13,AUDUSD,264444.4379738572,63.46666511372573
2013-05-13,NZDUSD,-51100.382331585504,12.264091759580522
2013-05-20,AUDUSD,-10978.98589087659,2.6349566138103815
2013-05-20,NZDUSD,-117085.4814933771,28.100515558410503
2013-05-27,AUDUSD,-52764.39690672519,12.663455257614046
2013-05-27,NZDUSD,-56001.76807995877,13.440424339190105
2013-06-03,AUDUSD,-124291.28041796185,29.829907300310847
2013-06-03,NZDUSD,119965.16279390847,28.791639070538032
2013-06-10,AUDUSD,-76409.77475829358,18.33834594199046
2013-06-10,NZDUSD,104222.4691110129,25.013392586643096
2013-07-29,AUDUSD,110354.70766025921,26.48512983846221
2013-07-29,NZDUSD,-192299.34163054198,46.15184199133007
2013-08-05,AUDUSD,-48519.57427580955,11.644697826194292
2013-08-05,NZDUSD,79956.36297934153,19.18952711504197
2013-08-12,AUDUSD,11727.483627250585,2.8145960705401407
2013-08-12,NZDUSD,-24293.414753324352,5.830419540797845
2013-08-19,AUDUSD,14578.784366324617,3.498908247917908
2013-08-19,NZDUSD,-26190.896629134368,6.285815190992248
2013-08-26,AUDUSD,-88141.40137802486,21.15393633072597
2013-08-26,NZDUSD,162827.29003365917,39.078549608078205
2013-09-16,AUDUSD,86843.9653341852,20.842551680204448
2013-09-16,NZDUSD,-152186.49008409353,36.52475762018245
2013-09-23,AUDUSD,30735.56862361422,7.376536469667413
2013-09-23,NZDUSD,-33195.0664847141,7.966815956331384
2013-09-30,AUDUSD,-9738.879443041253,2.3373310663299005
2013-09-30,NZDUSD,30458.954423114337,7.310149061547441
2013-10-07,AUDUSD,-35233.01839863999,8.455924415673598
2013-10-07,NZDUSD,61075.30275744648,14.658072661787156
2013-10-14,AUDUSD,-72607.63611611817,17.425832667868363
2013-10-14,NZDUSD,93847.29938824681,22.523351853179236
2013-12-02,AUDUSD,171225.79451399832,41.0941906833596
2013-12-02,NZDUSD,-113820.4520622986,27.316908494951665
2013-12-09,AUDUSD,33532.93555240432,8.047904532577038
2013-12-09,NZDUSD,-23286.948859515105,5.588867726283626
2013-12-16,AUDUSD,48078.03344464232,11.538728026714157
2013-12-16,NZDUSD,-35218.19570655265,8.452366969572637
2013-12-23,AUDUSD,-56217.03565368315,13.492088556883957
2013-12-23,NZDUSD,34882.91103539066,8.371898648493758
2013-12-30,AUDUSD,15402.567537064402,3.6966162088954566
2013-12-30,NZDUSD,-17231.11502346277,4.1354676056310655
2014-01-06,AUDUSD,-212022.2953944262,50.885350894662295
2014-01-06,NZDUSD,154673.80061643847,37.12171214794523
2014-01-20,AUDUSD,195108.45719648665,46.826029727156794
2014-01-20,NZDUSD,-125013.22928623675,30.00317502869682
2014-01-27,AUDUSD,-32584.732184248685,7.820335724219684
2014-01-27,NZDUSD,29265.479502900896,7.023715080696215
2014-02-03,AUDUSD,-53733.18059815487,12.895963343557169
2014-02-03,NZDUSD,24915.949532362967,5.9798278877671125
2014-02-10,AUDUSD,-33230.62964001791,7.975351113604299
2014-02-10,NZDUSD,20228.25184347046,4.854780442432911
2014-02-17,AUDUSD,-75559.91477406518,18.134379545775644
2014-02-17,NZDUSD,50603.54840750242,12.144851617800581
2014-06-09,AUDUSD,-204560.0060988659,49.09440146372782
2014-06-09,NZDUSD,218713.03769794342,52.49112904750642
2014-06-16,AUDUSD,204560.0060988659,49.09440146372782
2014-06-16,NZDUSD,-218713.03769794342,52.49112904750642
2014-07-28,AUDUSD,-185116.36726287563,44.427928143090156
2014-07-28,NZDUSD,175900.83852659795,42.216201246383505
2014-08-04,AUDUSD,59881.03557904606,14.371448538971055
2014-08-04,NZDUSD,-62685.9827871344,15.044635868912257
2014-08-11,AUDUSD,32789.60816090554,7.86950595861733
2014-08-11,NZDUSD,-35116.4824526165,8.42795578862796
2014-08-18,AUDUSD,-18162.306114513238,4.358953467483177
2014-08-18,NZDUSD,-4163.240561546074,0.9991777347710578
2014-08-25,AUDUSD,110608.02963743727,26.545927112984945
2014-08-25,NZDUSD,-73935.13272530097,17.744431854072232
2014-09-15,AUDUSD,299181.16706727666,71.8034800961464
2014-09-15,NZDUSD,-103569.4893154479,24.8566774357075
2014-09-22,AUDUSD,-299181.16706727666,71.8034800961464
2014-09-22,NZDUSD,103569.4893154479,24.8566774357075
2014-12-01,AUDUSD,248546.74255491613,59.651218213179874
2014-12-01,NZDUSD,-202240.00274927804,48.53760065982673
2014-12-08,AUDUSD,-36071.20038558109,8.657088092539462
2014-12-08,NZDUSD,17712.15946434965,4.250918271443916
2014-12-15,AUDUSD,18324.368223738216,4.397848373697172
2014-12-15,NZDUSD,-26730.276603953156,6.415266384948757
2014-12-22,AUDUSD,-19909.693688617583,4.77832648526822
2014-12-22,NZDUSD,1198.8942313170119,0.28773461551608287
2014-12-29,AUDUSD,-10557.624696566665,2.533829927176
2014-12-29,NZDUSD,-7212.9724428002955,1.731113386272071
2015-01-05,AUDUSD,-200332.592007889,48.07982208189336
2015-01-05,NZDUSD,217272.19810036483,52.14532754408756
2015-10-19,AUDUSD,141975.86886356192,34.07420852725486
2015-10-19,NZDUSD,-113398.03547317004,27.21552851356081
2015-10-26,AUDUSD,-14630.867467742893,3.5114081922582945
2015-10-26,NZDUSD,8870.294439768273,2.1288706655443854
2015-11-02,AUDUSD,20905.813489077424,5.017395237378582
2015-11-02,NZDUSD,-13805.31075209078,3.3132745805017874
2015-11-09,AUDUSD,-48919.106435817695,11.740585544596247
2015-11-09,NZDUSD,35903.455696597666,8.61682936718344
2015-11-16,AUDUSD,-99331.70844907875,23.8396100277789
2015-11-16,NZDUSD,82429.59608889488,19.78310306133477
2016-01-18,AUDUSD,184530.3706722259,44.28728896133421
2016-01-18,NZDUSD,-83624.98708203709,20.069996899688903
2016-01-25,AUDUSD,-76989.84549499198,18.477562918798075
2016-01-25,NZDUSD,30195.93568316991,7.247024563960779
2016-02-01,AUDUSD,-107540.52517723391,25.809726042536138
2016-02-01,NZDUSD,53429.051398867174,12.822972335728123
2016-03-07,AUDUSD,-169956.48488362358,40.78955637206966
2016-03-07,NZDUSD,105840.22115365243,25.401653076876585
2016-03-14,AUDUSD,-50721.875513859995,12.1732501233264
2016-03-14,NZDUSD,68432.44848626955,16.42378763670469
2016-03-21,AUDUSD,51946.45561241344,12.467149346979227
2016-03-21,NZDUSD,-19091.953791445354,4.582068909946885
2016-03-28,AUDUSD,31028.243837947928,7.446778521107503
2016-03-28,NZDUSD,-17999.50723033925,4.31988173528142
2016-04-04,AUDUSD,137703.6609471222,33.04887862730933
2016-04-04,NZDUSD,-137181.20861813737,32.92349006835297
2016-06-13,AUDUSD,141239.92356433786,33.89758165544109
2016-06-13,NZDUSD,-168089.4643138627,40.34147143532705
2016-06-20,AUDUSD,-18785.227774063198,4.508454665775168
2016-06-20,NZDUSD,35795.1230330047,8.590829527921127
2016-06-27,AUDUSD,-13639.357161292777,3.2734457187102666
2016-06-27,NZDUSD,30853.66811839395,7.404880348414548
2016-07-04,AUDUSD,-28712.62975641183,6.891031141538839
2016-07-04,NZDUSD,39245.6817733416,9.418963625601984
2016-07-11,AUDUSD,-80102.70887257006,19.224650129416816
2016-07-11,NZDUSD,62194.99138912245,14.926797933389388
2016-12-19,AUDUSD,211000.6918188351,50.64016603652043
2016-12-19,NZDUSD,-131279.44624756926,31.507067099416624
2016-12-26,AUDUSD,-21667.532991891057,5.200207918053854
2016-12-26,NZDUSD,-13836.398386318324,3.3207356127163976
2017-01-02,AUDUSD,-19594.87563386539,4.702770152127694
2017-01-02,NZDUSD,-2257.9363014773407,0.5419047123545618
2017-01-09,AUDUSD,-169738.28319307865,40.73718796633888
2017-01-09,NZDUSD,147373.78093536492,35.36970742448758
2017-03-06,AUDUSD,-231475.37003394085,55.554088808145806
2017-03-06,NZDUSD,255503.1676581787,61.32076023796289
2017-03-13,AUDUSD,-7417.324526296812,1.780157886311235
2017-03-13,NZDUSD,-14986.605346369994,3.5967852831287987
2017-03-20,AUDUSD,-2803.800639462279,0.6729121534709469
2017-03-20,NZDUSD,-16374.771577116364,3.9299451785079276
2017-03-27,AUDUSD,92851.14564084439,22.284274953802655
2017-03-27,NZDUSD,-94189.57330010593,22.605497592025422
2017-04-03,AUDUSD,148845.34955885555,35.72288389412533
2017-04-03,NZDUSD,-129952.2174345864,31.188532184300737
2017-08-28,AUDUSD,-180608.14479995993,43.345954751990384
2017-08-28,NZDUSD,150215.48937296227,36.051717449510946
2017-09-04,AUDUSD,-19047.00677653472,4.571281626368333
2017-09-04,NZDUSD,25430.880606314924,6.103411345515582
2017-09-11,AUDUSD,27939.758536616457,6.70554204878795
2017-09-11,NZDUSD,-17200.091042519984,4.128021850204796
2017-09-18,AUDUSD,60828.34947534499,14.5988038740828
2017-09-18,NZDUSD,-51740.136036640644,12.417632648793756
2017-09-25,AUDUSD,110887.0435645332,26.61289045548797
2017-09-25,NZDUSD,-106706.14290011657,25.609474296027976
2018-03-19,AUDUSD,237427.45675277052,56.982589620664925
2018-03-19,NZDUSD,-156105.75160085465,37.46538038420512
2018-03-26,AUDUSD,-38178.93158622147,9.162943580693154
2018-03-26,NZDUSD,29831.1578543628,7.159477885047072
2018-04-02,AUDUSD,1160.96500868164,0.2786316020835936
2018-04-02,NZDUSD,4306.190907988814,1.0334858179173154
2018-04-09,AUDUSD,-5546.223500535241,1.3310936401284579
2018-04-09,NZDUSD,9176.440756320677,2.2023457815169625
2018-04-16,AUDUSD,-194863.26667469545,46.76718400192691
2018-04-16,NZDUSD,112791.96208218236,27.070070899723767
2018-09-10,AUDUSD,252106.03305681297,60.50544793363512
2018-09-10,NZDUSD,-171486.55481297246,41.15677315511339
2018-09-17,AUDUSD,-101811.48277852149,24.43475586684516
2018-09-17,NZDUSD,64817.581934671514,15.556219664321164
2018-09-24,AUDUSD,-74304.18585182441,17.83300460443786
2018-09-24,NZDUSD,50988.13243781279,12.23715178507507
2018-10-01,AUDUSD,16700.8365689325,4.0082007765438
2018-10-01,NZDUSD,-15621.118883323652,3.7490685319976764
2018-10-08,AUDUSD,-92691.20099539957,22.245888238895898
2018-10-08,NZDUSD,71301.95932381181,17.112470237714835
2018-10-22,AUDUSD,263282.62949502515,63.187831078806035
2018-10-22,NZDUSD,-237744.55937386808,57.05869424972834
2018-10-29,AUDUSD,-32070.65176106934,7.696956422656642
2018-10-29,NZDUSD,19310.078708266286,4.634418889983909
2018-11-05,AUDUSD,-54110.09263455702,12.986422232293684
2018-11-05,NZDUSD,50309.36254957461,12.074247011897906
2018-11-12,AUDUSD,86511.9959034205,20.762879016820918
2018-11-12,NZDUSD,-73353.40253502777,17.604816608406665
2018-11-19,AUDUSD,-263613.8810028193,63.26733144067663
2018-11-19,NZDUSD,241478.52065105495,57.95484495625319
2018-12-10,AUDUSD,297299.86870169395,71.35196848840656
2018-12-10,NZDUSD,-199515.0454683163,47.88361091239591
2018-12-17,AUDUSD,-38129.54420484931,9.151090609163836
2018-12-17,NZDUSD,42125.79156999674,10.110189976799218
2018-12-24,AUDUSD,46125.606849266245,11.0701456438239
2018-12-24,NZDUSD,-7555.8839649142465,1.8134121515794193
2018-12-31,AUDUSD,-41448.01521508396,9.94752365162015
2018-12-31,NZDUSD,31822.157513899787,7.637317803335949
2019-01-07,AUDUSD,-145186.00200564147,34.844640481353956
2019-01-07,NZDUSD,76291.36261726523,18.309927028143655
2019-01-14,AUDUSD,-118661.91412538546,28.478859390092513
2019-01-14,NZDUSD,56831.61773206879,13.639588255696511
2019-08-05,AUDUSD,314155.21914381004,75.39725259451441
2019-08-05,NZDUSD,-218686.2605321029,52.4847025277047
2019-08-12,AUDUSD,-60391.12250327741,14.49386940078658
2019-08-12,NZDUSD,26618.211701778375,6.38837080842681
2019-08-19,AUDUSD,-253764.09664053263,60.903383193727834
2019-08-19,NZDUSD,192068.04883032452,46.096331719277885
2019-09-16,AUDUSD,-293284.0495963783,70.3881719031308
2019-09-16,NZDUSD,257146.16661453017,61.71507998748724
2019-09-23,AUDUSD,137464.73195441382,32.99153566905932
2019-09-23,NZDUSD,-132174.46162726087,31.72187079054261
2019-09-30,AUDUSD,155819.31764196447,37.39663623407147
2019-10-07,NZDUSD,-124971.7049872693,29.993209196944633
2020-04-27,AUDUSD,-270544.8785437336,64.93077085049607
2020-04-27,NZDUSD,316656.5904831312,75.99758171595148
2020-05-04,AUDUSD,57345.041707245255,13.762810009738862
2020-05-04,NZDUSD,-74096.50995828636,17.78316238998873
2020-05-11,AUDUSD,-23056.872709159565,5.533649450198296
2020-05-11,NZDUSD,20906.373918963305,5.017529740551193
2020-05-18,AUDUSD,-20340.36546520362,4.881687711648869
2020-05-18,NZDUSD,15427.552681163768,3.7026126434793043
